,Phrase,PMI,Count
0,activated charcoal,15.213654848493203,12
1,vocal cords,14.95062044265941,10
2,fossil fuels,14.872617930658137,15
3,simplified explanation:1,14.669334332269393,12
4,midnight weekend,14.181233370800827,11
5,status quo,14.178030938762484,10
6,solar panels,13.72822802132296,18
7,indigenous peoples,13.702692929215825,10
8,stepping stone,13.68383390196451,20
9,carbon dioxide,13.677601948252995,25
10,test scores,13.428667739464055,13
11,civil rights,13.162124547853123,11
12,worth noting,13.143265520601807,12
13,black hole,13.026027845317431,36
14,muscle fibers,13.005761996851872,10
15,black holes,12.950620442659412,10
16,falling asleep,12.920873099265359,10
17,law enforcement,12.741167077030461,12
18,loved ones,12.717229022373706,21
19,video conferencing,12.474238755092175,50
20,fall asleep,12.377730774238831,10
21,societal norms,12.349716398069232,15
22,radio waves,12.306764252884685,12
23,ask questions,12.241913108534716,29
24,cost savings,12.209153456258262,18
25,counts. ”,12.113518177207753,12
26,20th centuries,12.08437183154824,22
27,celestial bodies,12.059849512414168,12
28,electronic devices,12.057150362813214,21
29,16th century,12.03718700118412,11
30,american tribes,12.012020987323554,10
31,severe illness,11.973340519159494,10
32,native american,11.960740482379858,38
33,pain receptors,11.950620442659412,10
34,personalized instruction,11.947617954497888,10
35,spanish flu,11.910604763811532,10
36,comfort zone,11.880231114768012,55
37,comfort zones,11.876478979906903,16
38,send signals,11.87380484560858,10
39,problem solving,11.870827295701812,49
40,flip side,11.811556404921857,14
41,genetic variations,11.741167077030461,12
42,already mastered,11.738755318540228,35
43,drastically changed,11.691058228732421,13
44,careful consideration,11.626467682657534,27
45,technological advancements,11.623192550624672,12
46,18th centuries,11.590724497573028,10
47,fully understood,11.590557218885277,28
48,weekday curfew,11.582550566127328,10
49,traced back,11.575581011312487,37
50,late 19th,11.527554569624632,28
51,network infrastructure,11.499409330827083,10
52,lunch menu,11.49215351482428,17
53,science experiments,11.48349443223211,17
54,19th century,11.476134478299823,39
55,20th century,11.441693832970794,28
56,falling short,11.43667357547912,12
57,light bulb,11.42021410556034,16
58,17th century,11.403725982771773,12
59,media platforms,11.396031590981773,14
60,theory suggests,11.355673853365634,10
61,tree species,11.335910598544203,10
62,ripple effect,11.331011799131362,12
63,think critically,11.317904810489887,13
64,dating back,11.312546605478692,10
65,homework club,11.307982231041356,79
66,rapid eye,11.280554373561838,10
67,gravitational force,11.278195100687915,10
68,tiny particles,11.265287616908527,12
69,ancient civilizations,11.229521253952225,24
70,american names,11.166530936379177,16
71,late 18th,11.129590583704731,10
72,almost impossible,11.128618744637404,14
73,18th century,11.085550022745519,14
74,plus side,11.0531110833452,12
75,far outweigh,11.038130247403329,15
76,famously said,11.034741063823635,36
77,wide range,11.033984569145776,50
78,summer vacations,11.02086888924208,12
79,magnetic field,11.009782515127554,28
80,customer service,11.007750549945326,11
81,highly valued,10.990618510591329,12
82,digestive system,10.946333084256311,14
83,heart rate,10.942295578008476,18
84,critical thinking,10.920873099265357,33
85,viable option,10.878670600780396,11
86,face-to-face interaction,10.869320340557563,23
87,conserving energy,10.863157601409071,13
88,summer vacation,10.859932671027023,23
89,immune response,10.844711934088254,20
90,ca n't,10.828223811299683,27
91,wo n't,10.828223811299683,12
92,slow down,10.804663329589749,17
93,vary depending,10.792244514194115,36
94,varied across,10.762443736660874,32
95,widely accepted,10.761394885258163,11
96,greatest accomplishment,10.745234446628654,20
97,renewable energy,10.737626719325213,22
98,highly unlikely,10.727584104757536,20
99,field trips,10.717000765899709,20
100,few examples:1,10.706494499375681,10
101,cell phones,10.698147305449819,164
102,concrete evidence,10.692708840643203,12
103,increasingly popular,10.686279839324992,46
104,nervous system,10.62440498936895,14
105,weekend curfew,10.620518416326348,11
106,famous quote,10.613585455381838,19
107,optimistic outlook,10.593883197785626,18
108,mutual respect,10.581386632993691,10
109,attractive option,10.556742505893034,11
110,cognitive abilities,10.529116599915472,10
111,fight off,10.518774655694012,12
112,solve problems,10.507062903370514,18
113,save money,10.496260662485577,34
114,easily distracted,10.484645978155342,10
115,cell phone,10.458767346329736,44
116,public speaking,10.454321441298543,15
117,half hour,10.442419352242252,13
118,head start,10.429446772659515,23
119,invaluable asset,10.405012380575139,12
120,immune system,10.396474384491071,52
121,move forward,10.38144906248494,37
122,conserve energy,10.377730774238827,15
123,community service,10.37067601670488,80
124,blood flow,10.343701211699555,12
125,environmental conditions,10.335910598544203,10
126,evidence suggests,10.305047780295663,14
127,homework clubs,10.303761764723163,20
128,years ago,10.292841876652314,33
129,long run,10.289086830992765,68
130,peer pressure,10.285284525474236,11
131,early 20th,10.258265735193493,39
132,medieval period,10.257133485160084,28
133,desired outcome,10.202054851809411,12
134,powerful tool,10.173290397725124,44
135,feeling isolated,10.172981555849443,10
136,’ ve,10.162717883267979,26
137,’ re,10.162717883267977,32
138,role models,10.152664218604057,11
139,breaking down,10.152022639632706,15
140,anyone else,10.141977974741346,10
141,doing nothing,10.139513385740699,12
142,white blood,10.131292878935731,10
143,wider range,10.126192007242866,13
144,don ’,10.11762999373944,63
145,job market,10.098286010672979,32
146,young age,10.09628722454698,132
147,character traits,10.095362615466215,80
148,stress hormones,10.09429867145353,10
149,necessarily mean,10.080255723076007,11
150,aim too,10.076523969725553,22
151,daunting task,10.071315678722792,11
152,after-school homework,10.060785011230623,13
153,among historians,10.047296462071081,18
154,air resistance,10.039062006008049,12
155,video games,10.034741063823638,20
156,alcohol content,10.033347828523771,10
157,external pressures,10.019883105096525,10
158,innovative solutions,9.98786211876911,14
159,large amounts,9.984836157997323,12
160,potentially dangerous,9.973340519159494,13
161,few reasons:1,9.969528905209472,18
162,water droplets,9.960989416042954,12
163,specifically designed,9.937716609428774,10
164,worth considering,9.93681464313438,13
165,true selves,9.927389736856377,15
166,first impressions,9.903669486050614,205
167,three-year program,9.900771893208848,12
168,historical records,9.88058897041685,20
169,medical professionals,9.880231114768014,10
170,conscious effort,9.87380484560858,13
171,curfew law,9.858524027668617,16
172,social media,9.855705618262988,93
173,’ t,9.848336597433963,115
174,moving forward,9.841462530309753,11
175,medical care,9.826499130830221,14
176,dropping out,9.823399892171338,10
177,integral part,9.821122754924541,40
178,wouldn ’,9.814794579847673,11
179,computer science,9.813116918909476,10
180,job prospects,9.80918550045911,19
181,gave me,9.809121476004805,28
182,traditional four-year,9.804263912355502,14
183,mobile phones,9.800026919469031,12
184,extra hour,9.79565561388371,23
185,feeling overwhelmed,9.783035037533427,30
186,once said,9.775822766462076,26
187,elective courses,9.775694760158729,18
188,mental health,9.758638213256866,135
189,formal education,9.757834483408287,10
190,actively engaged,9.749721837620966,12
191,recent years,9.747680383989135,77
192,three years,9.728228021322963,102
193,long distances,9.727659844732397,17
194,academic performance,9.725095867150763,133
195,miss out,9.718046892025107,55
196,active lifestyle,9.67461537193513,13
197,body releases,9.673583805270749,17
198,small acts,9.647832533996331,23
199,varied depending,9.643799240162256,14
200,most importantly,9.638998253898436,12
201,open doors,9.637737487375052,17
202,greater heights,9.637435067283626,10
203,great deal,9.626235301976527,22
204,staying active,9.622052361844446,28
205,historical accounts,9.609286948599456,10
206,profound effect,9.60854577466027,16
207,no matter,9.608107299993591,147
208,internet connection,9.606324534743592,12
209,am confident,9.601371741772533,17
210,language model,9.600123195575279,10
211,reasons why,9.592140172858286,90
212,specialized cells,9.587215711795888,12
213,someone else,9.58377786951133,56
214,external influences,9.577364869395574,13
215,human contact,9.563622271500615,31
216,best suits,9.544769864226957,12
217,fresh air,9.54429731425847,12
218,constantly trying,9.537546650396761,28
219,study habits,9.536287556357156,12
220,passionate about,9.521562473065632,40
221,best suited,9.512348386534578,16
222,summer break,9.511112732710096,60
223,main reason,9.509158305438511,14
224,took place,9.502245982996614,16
225,meaningful connections,9.496583286748315,34
226,sports teams,9.491598738797109,10
227,rather than,9.488577610565574,253
228,serious consequences,9.458990001633964,12
229,becoming increasingly,9.458173766794149,18
230,throughout history,9.452768605708293,48
231,chosen field,9.451106705926673,24
232,first impression,9.435511994029433,160
233,direct contact,9.43196728698602,16
234,common method,9.407158929164693,12
235,historical context,9.402836071132029,26
236,respiratory system,9.373443415835732,10
237,mainly due,9.369958079371878,14
238,working collaboratively,9.356669158711,10
239,power plants,9.34983297477657,17
240,water molecules,9.335384930824453,14
241,worry about,9.33463104631763,23
242,blood cells,9.331317487243721,16
243,regular breaks,9.331317487243721,16
244,half hours,9.3276429825606,29
245,taught me,9.323694648834563,43
246,continue striving,9.317294920376856,11
247,pushing myself,9.315809392487692,12
248,into account,9.303798794408124,81
249,extracurricular activities,9.287353558262108,224
250,teachers alike,9.270795407099506,17
251,playing sports,9.269844536909638,19
252,problem-solving abilities,9.23443853943631,13
253,graduating early,9.233716034466841,74
254,four days,9.22968884744252,34
255,extra-curricular activities,9.229057059565777,27
256,specific details,9.222699988096211,11
257,working alone,9.216028281830411,173
258,several factors:1,9.213654848493205,12
259,work ethic,9.212528183038918,17
260,educational institutions,9.21065236033168,12
261,far away,9.20419225256819,26
262,religious beliefs,9.189069210214932,10
263,primary source,9.182436117882485,11
264,several reasons:1,9.173012863995858,14
265,’ s,9.172856330057563,357
266,evolved over,9.164459742870928,30
267,healthy habits,9.164024080768606,10
268,missing out,9.160434879448907,20
269,attitudes towards,9.15645944691166,17
270,used responsibly,9.155663125734028,12
271,deeper understanding,9.151944098546005,33
272,million years,9.138264839543439,12
273,manufacturing process,9.137623150567578,15
274,seeking guidance,9.129659387567944,34
275,better equipped,9.127017313953248,18
276,expert advice,9.119765738083432,14
277,best version,9.11967870028419,13
278,crucial role,9.113135854417417,33
279,diverse range,9.108270099245603,13
280,few reasons,9.108235176041067,90
281,false sense,9.08303280774658,10
282,deciding whether,9.067773637200785,20
283,educational purposes,9.059343037056715,26
284,am writing,9.055802679351466,12
285,energy consumption,9.055802679351466,12
286,stay focused,9.049332237199256,74
287,greater danger,9.046320339580872,12
288,recreational activities,9.041342744679937,13
289,several theories,9.033082602851383,12
290,look forward,9.028581210616444,20
291,medieval times,9.024324447878296,16
292,reason why,9.016794148262639,29
293,incredibly rewarding,9.01148649085277,11
294,stay connected,9.001766553947201,42
295,ended up,9.001205230404334,13
296,strong foundation,8.993518401097123,12
297,finishing high,8.991101421069773,16
298,valuable insight,8.99108210154676,25
299,body weight,8.991038423578807,23
300,creative solutions,8.990657137481676,25
301,inevitable part,8.985509572825423,10
302,graduate early,8.981131132314847,28
303,worked hard,8.979436170254731,16
304,wonderful how,8.965654326014361,13
305,wide variety,8.964251647730741,18
306,hormones like,8.964146299230139,12
307,commonly used,8.941538320381182,20
308,multiple opinions,8.936873577959071,34
309,happens because,8.936677488667245,12
310,meaningful conversations,8.930566495469202,14
311,too low,8.925993765679376,18
312,helped me,8.925145272344286,33
313,nuclear power,8.917721962138785,14
314,healthier options,8.907494069464159,23
315,potential pitfalls,8.890063065117547,13
316,remarkable ability,8.884531252201638,10
317,winter break,8.878621861906357,10
318,summer breaks,8.871292533191568,17
319,doing so,8.86203746751842,71
320,public safety,8.859305275913465,11
321,popular culture,8.857863301739558,12
322,balance between,8.857863301739556,53
323,step back,8.857724240093981,19
324,opens up,8.85715886078763,10
325,stress levels,8.842759904457566,42
326,both sides,8.83616823064024,22
327,team members,8.831391090378366,24
328,life throws,8.826029121039166,11
329,informed decision,8.82426012416921,50
330,too much,8.814393791461871,76
331,profound impact,8.80851338535686,22
332,extended periods,8.803415517717182,10
333,four years,8.80319564496801,54
334,often depicted,8.802143860481134,10
335,overall well-being,8.797446228169873,19
336,valuable lessons,8.793383364143443,23
337,stay motivated,8.790659940157266,66
338,traditional classrooms,8.788915948022067,11
339,major factor,8.774807562011999,15
340,research shows,8.772370576566168,10
341,negative impacts,8.770711352644478,21
342,decision-making process,8.770334522280342,22
343,over millions,8.765910366380655,10
344,interpersonal skills,8.760795883779391,18
345,successful entrepreneurs,8.74938758383543,11
346,commonly known,8.749016281545158,11
347,opened up,8.748224489234463,12
348,career paths,8.745082575999437,59
349,own pace,8.741878039436077,56
350,might seem,8.73434258445198,19
351,after researching,8.724654338443143,27
352,popular option,8.718799264002005,16
353,distance learning,8.71446552061817,238
354,does n't,8.709939793303974,79
355,negative effects,8.702396352990935,64
356,skin cells,8.701744099822276,10
357,immensely beneficial,8.696300407703522,10
358,research suggests,8.695749294963255,10
359,key factor,8.694533790621717,29
360,detrimental effect,8.692110491299402,14
361,reminds us,8.68946577004384,10
362,innovative ideas,8.688995607080289,10
363,even though,8.684035381615823,31
364,tap into,8.681805562742003,10
365,ever before,8.680922306544606,30
366,seek out,8.678349559368053,26
367,oxygen levels,8.666760388605567,12
368,early graduation,8.665629306586917,15
369,academic pursuits,8.659065996815567,11
370,shorter period,8.65622944056991,10
371,true self,8.650976301221382,14
372,shorter summer,8.64235726598835,10
373,than ever,8.637440996480056,51
374,been linked,8.637305478076755,14
375,at least,8.626276811469445,23
376,without losing,8.620226374857053,10
377,staying motivated,8.619352201893056,17
378,future generations,8.617744711506734,16
379,break down,8.61732012597049,36
380,early stages,8.616719706105972,12
381,four year,8.610929475771297,28
382,creative thinking,8.6101768602392,15
383,achievable goals,8.609286948599456,21
384,your teeth,8.592921830141107,10
385,long term,8.592668633399475,11
386,group member,8.590065949879804,10
387,extended period,8.589708824246953,17
388,course material,8.584496960425879,22
389,do n't,8.579800100072742,153
390,initial impressions,8.57611222173037,15
391,insight into,8.573316604912932,62
392,often referred,8.569970418352101,21
393,catch up,8.55856326973089,11
394,outdoor activities,8.55764888473415,35
395,daily lives,8.554227084088794,27
396,costs associated,8.546188443535835,10
397,two hours,8.533573751253222,48
398,personal growth,8.532427086701492,99
399,informed decisions,8.514551577914926,54
400,social interaction,8.514201114117316,38
401,debate among,8.512799028332918,10
402,express themselves,8.51172960246295,14
403,difference between,8.511538552544728,43
404,healthier food,8.510135737420137,18
405,academic achievement,8.50364056506837,20
406,elective classes,8.500587522024365,21
407,keep track,8.499092289832314,13
408,pushed me,8.497724048609612,11
409,lasting impression,8.496502623918579,17
410,reduce stress,8.482267927534203,40
411,being honest,8.481511655754275,42
412,family members,8.480526511645937,42
413,body goes,8.478364783664528,14
414,scientific community,8.477591220621392,10
415,something else,8.477301241382019,28
416,young adults,8.476914693039994,12
417,most influential,8.475992666395914,11
418,risks associated,8.466428592803373,25
