Phrase,PMI,Count
varied across different regions,31.71239990701272,10
continue that counts. ”,30.960069962440237,12
an after-school homework club,30.096933153466985,11
our aim too low,29.949960104794474,10
seeking guidance from experts,28.85156132588343,17
setting our aim too,28.68635703713192,19
you don ’ t,28.61765801814243,13
don ’ t have,28.51451064459173,23
an increasingly popular option,28.49345516521298,12
wonderful how much may,28.414382254028027,13
's a simplified explanation:1,28.360916305501064,12
they don ’ t,28.295644356691717,12
after school homework club,28.168168194799918,21
after school homework clubs,28.075411053880067,10
19th and early 20th,27.747445550610614,22
and early 20th centuries,27.568121851166055,22
do something beyond what,27.2589266596477,18
small acts of kindness,27.12895400702611,22
you have already mastered,27.070478437169065,24
no matter how small,26.989519185270495,11
the late 19th century,26.98121254571796,10
has become increasingly popular,26.96424751729395,10
think outside the box,26.844311387348533,19
plays a crucial role,26.587722326819474,13
four day school week,26.52296039513019,16
late 19th and early,26.37387466862716,18
be taken into account,26.36994394981057,20
be taken into consideration,26.36994394981057,22
"aim too low ,",26.34304663062845,10
depends on various factors,26.29898733659411,20
lack of face-to-face interaction,26.29829053153623,11
become an increasingly popular,26.225113475499754,11
become an integral part,26.189621474881996,17
hustle and bustle of,26.17604777747126,10
is wonderful how much,26.165996475439748,13
the early 20th century,25.999411160845156,17
"famously said , “",25.979040931637584,10
"early 20th centuries ,",25.90776468614294,10
high and falling short,25.889751899354515,10
influenced by various factors,25.85441020599307,16
greater danger for most,25.775538124469747,10
something beyond what you,25.708314405347636,19
attending classes from home,25.682822865158094,26
played a significant role,25.62687445028397,18
online and video conferencing,25.496030228043658,12
are not fully understood,25.485661167512582,10
play a crucial role,25.460104546527326,15
day by two hours,25.406502258477573,17
no matter how difficult,25.39209656356087,10
four year high school,25.359382189747933,11
make you something else,25.27666537002853,20
depend on various factors,25.229724674156998,10
you will never grow,25.182335171872587,11
here 's a simplified,25.163769835323727,20
without loss of enthusiasm,25.15515517826791,21
graduating high school early,25.02752928184335,15
first impressions are incredibly,24.941264332002966,10
in three years instead,24.87913293919572,23
are several reasons why,24.87805795367396,15
at their own pace,24.860227950187237,46
make an informed decision,24.85000568476965,33
has evolved over time,24.777156934805696,12
over millions of years,24.765072567753286,10
four days a week,24.72445556700921,11
can be traced back,24.71406856578853,35
a simplified explanation:1 T,24.623819880353025,12
a few reasons why,24.58998387273197,34
can open many doors,24.531863846302578,10
three years instead of,24.52754964334899,25
cell phone use in,24.523890967956504,15
an informed decision about,24.48793382517816,12
must be taken into,24.460019294112413,19
a few key points,24.45379964141801,10
during the late 19th,24.444184522060503,10
at a young age,24.442960176371763,109
a four-day school week,24.31022008740193,59
four-day school week with,24.270573233495902,17
years instead of four,24.268516339806105,21
from experts and authorities,24.26700415693997,22
success consists of going,24.25822971222602,12
use their cell phones,24.246841170320344,15
is no historical evidence,24.18593420281497,10
graduating in three years,24.151131231215757,10
come into contact with,24.144954932505698,15
too high and falling,24.140560002855054,10
participating in extracurricular activities,24.123390105978423,15
research has shown that,24.1075822063696,34
consists of going from,24.104953061808878,23
failure is not fatal,23.988220923430248,35
across different regions and,23.95073787275252,12
i am confident that,23.92950509515196,13
may miss out on,23.871134599278406,17
a four-day work week,23.852243238516706,22
at an early age,23.76087903389216,21
interact with one another,23.722775213781922,11
studies have shown that,23.709270542160063,66
play an important role,23.68208347607944,12
has become an integral,23.65823864310704,11
aim too high and,23.65513317568481,10
to continue that counts.,23.653151358625003,14
can vary depending on,23.63672429976527,22
willingness to take risks,23.634583804572067,10
participate in extracurricular activities,23.620436016415503,17
here are some key,23.612767845168847,12
failure without loss of,23.59476629341645,25
physical and mental health,23.585203246403182,52
attributed to several factors,23.568370313992666,42
taken into account T,23.54449853637862,15
few reasons T firstly,23.510515172563743,24
pros and cons before,23.506241623442214,12
make more informed decisions,23.485394394289813,15
are a few examples:1,23.474496887275485,10
to continue that counts,23.46050628068261,21
students may miss out,23.403619701891706,11
have evolved over time,23.37079867676119,10
taking classes from home,23.334441470943325,19
each other ’ s,23.305398458431675,11
distance learning has become,23.299249296448835,16
inevitable part of life,23.29546659724845,10
an extended school day,23.286479454074346,22
in setting our aim,23.2848293927929,19
an Q language model,23.276669584868728,10
what you have already,23.274350770534724,27
"already mastered , you",23.261696192602088,15
on the flip side,23.255522958036607,10
stay focused and motivated,23.250025801148126,12
both pros and cons,23.249958834036143,19
be traced back to,23.23419864851421,35
made up of tiny,23.17598891746774,10
longer school day could,23.172045511077016,11
one notable example is,23.12769172591063,15
to failure without loss,23.099552373875326,26
lack of social interaction,23.081302223959483,10
a good first impression,23.07495247832638,26
much may be done,23.06933018984096,14
beyond what you have,23.026540724685532,25
before making a final,23.00761008383435,10
graduating from high school,23.00651950681,25
has become an increasingly,22.941066918305467,14
school in three years,22.91473054494017,55
there are several reasons,22.886880384056887,23
hard work and dedication,22.881933484081557,44
use of cell phones,22.878699838701607,21
it is highly unlikely,22.875799941018435,12
of our comfort zone,22.86779018758535,11
an integral part of,22.847092493140366,38
making your own decisions,22.84112861434405,19
advice from multiple people,22.80228646638092,10
take a step back,22.801502146511716,11
continue that counts T,22.783369782851423,16
let 's break it,22.73322707708894,10
good first impression is,22.73133445230905,11
both good and bad,22.709694699607596,15
should be taken into,22.675859726709298,14
not fully understood T,22.6721443276964,10
constantly trying to make,22.668353147832377,19
no historical evidence to,22.662438652977492,10
you something else is,22.57112306715637,18
extending the school day,22.565382079236294,69
go a long way,22.545686134827633,20
school day by two,22.540277682469416,17
"not fully understood ,",22.494540501594983,10
is an integral part,22.477753677235285,15
career at a young,22.45110655770599,79
amount of time spent,22.442816828223172,15
both younger and older,22.43055982165751,11
"have already mastered ,",22.428535985526942,16
a head start on,22.41444846611298,14
one ’ s own,22.391735532750623,16
finishing high school in,22.39059766802118,10
evidence to suggest that,22.34360698819347,33
positive outlook on life,22.321598946049235,22
we are always doing,22.314988533132805,11
an after school homework,22.30376922188755,10
learn from our mistakes,22.275671513250778,17
for an extended period,22.25603630034538,10
than ever before T,22.23810778728466,18
has its own advantages,22.218128369075046,10
a profound effect on,22.21664509772166,15
mental and physical health,22.206691623149446,20
that is constantly trying,22.180219868340345,23
save time and money,22.177205058386647,12
setting a good example,22.170101399146937,27
most of us lies,22.15342884516121,10
high school in three,22.14904298959783,56
Q Q famously said,22.1270796670278,21
try to do something,22.12592592570595,15
factor in achieving success,22.100338380479286,11
having a positive attitude,22.098717005440996,243
here are a few,22.083527147958478,68
a negative first impression,22.06806609274114,13
"language model , i",22.06308528358845,10
has been linked to,22.062115915373,14
both advantages and disadvantages,22.023701411473525,18
several factors T firstly,22.011863521347024,22
to do something beyond,22.000263224439678,19
done if we are,21.956168472395397,13
vary depending on the,21.944030315815553,21
has made it easier,21.92496106900846,14
there are both pros,21.888824830595702,12
there are several factors,21.88357523933321,22
i am writing to,21.85565678643463,11
may be done if,21.848031547966215,13
make decisions based on,21.847218379907716,10
four years of high,21.840750081023053,12
personal growth and development,21.82301979863928,14
before making a decision,21.80948584119939,31
relationships with those around,21.80249698061065,11
"various factors , including",21.747581309978294,38
a wide range of,21.73581930209223,47
it is wonderful how,21.735358539021533,12
learn from one another,21.710400574282694,10
acts of kindness can,21.661796299674023,18
are some potential drawbacks,21.660935239496574,12
shorter amount of time,21.653840435480426,10
attributed to various factors,21.62146403953627,12
has revolutionized the way,21.606834315278135,19
T one major factor,21.587486991533446,13
through a process called,21.58133874670642,22
an act of kindness,21.57716686063862,12
hard work and determination,21.57500981380916,13
technology has revolutionized the,21.564903394470733,16
being true to oneself,21.56341923646496,11
experts and authorities can,21.557225786950454,10
be done if we,21.55305954673232,13
guidance from experts and,21.531736850245792,17
is influenced by various,21.526206519365694,12
it ’ s important,21.509770444941708,52
a profound impact on,21.509722112809733,22
gain a better understanding,21.50091544734174,33
courage to continue that,21.46955142028561,35
else is the greatest,21.464601020379824,17
", no matter how",21.45453777740638,33
attending classes in person,21.436734799887915,11
be a powerful tool,21.40068033621192,20
integral part of our,21.393644328463033,12
older and younger students,21.381865564865436,25
making our own decisions,21.38021271596793,14
various factors such as,21.368007194865193,20
on various factors such,21.365194580272124,18
T this happens because,21.32959364583993,12
we understand it today,21.32898730855458,12
T one notable example,21.31937710102072,15
long periods of time,21.30812206211523,11
learn from each other,21.296333060523324,13
stay in touch with,21.291581530578057,14
hour and a half,21.289642510800128,19
to try something new,21.281903388168296,10
have a detrimental effect,21.251779249315646,11
even when faced with,21.24808651634916,11
for a few reasons:1,21.244525972499872,10
graduating high school in,21.241084126601827,30
the four-day school week,21.24072419159336,12
"not final , failure",21.23699993194171,34
potential advantages and disadvantages,21.214150940307213,12
there are some drawbacks,21.184446568457595,13
a detrimental effect on,21.170926797415824,12
take the necessary steps,21.1612094693187,10
to take into account,21.15757995764684,17
can not be overstated,21.156976136884794,13
Q consists of going,21.117051478416606,11
a student ’ s,21.11039098641244,34
studies have found that,21.10245649073154,16
positive attitude is essential,21.08824519630516,34
i do n't have,21.08600968628992,18
T no matter what,21.073480974099127,16
pros and cons of,21.073328942374296,83
students and teachers alike,21.06434538301785,12
positive and negative effects,21.05466622419371,22
T studies have shown,21.049717479064824,44
is evidence to suggest,21.032936931350854,16
is the greatest accomplishment,20.999253678268097,12
activities such as sports,20.999176146975323,10
having a good attitude,20.976320374081276,32
Q Q once said,20.945329230188705,16
having a positive outlook,20.943118785497788,22
an extended period of,20.92414439754358,10
a wider range of,20.91729407828641,13
a huge impact on,20.91026004239346,11
be attributed to several,20.90937411248703,66
are a few reasons,20.907946423668207,46
evolved over time T,20.903118990578513,14
a complex and multifaceted,20.889289317120472,10
T technology has revolutionized,20.88522580887247,11
cell phones can be,20.881181298879127,20
the task at hand,20.877988958602764,28
cell phones in school,20.877595071533072,11
take into account the,20.831297841188153,15
us to stay connected,20.827980499075885,11
"several factors , including",20.80913015037582,18
"mastered , you will",20.802471619751728,14
relationships with their peers,20.79264250683739,14
more important than knowledge,20.79193062354839,15
in the long run,20.78025108443287,68
stay true to ourselves,20.767464723923432,10
should not be taken,20.765364879632045,11
T no matter how,20.757672485591662,18
both positive and negative,20.74762216137306,60
while it may seem,20.738930267521532,10
if we are always,20.734941522825764,14
the school board should,20.732873736367992,10
make our own decisions,20.722617542103343,17
this is especially true,20.717811142945358,13
have a profound impact,20.716105446793406,11
to never give up,20.713393713303475,11
the pros and cons,20.687282719486234,103
there is no historical,20.675845321410463,10
", research has shown",20.67481557225227,15
in the late 19th,20.67079551964442,11
a longer school day,20.666162035382627,29
we do n't have,20.665770670378635,12
a few examples:1 T,20.66098004745931,10
never to be idle,20.65910913907245,10
focus on their studies,20.652355056339893,15
not only does it,20.649015920989896,17
a powerful tool for,20.644207674990774,14
is an essential part,20.605467567174124,37
", no matter what",20.596316866138793,13
"the flip side ,",20.594230358399734,12
beneficial in many ways,20.59343533335528,12
can be extremely beneficial,20.593030215976185,12
young age can be,20.592479103235917,20
that must be considered,20.576867616011903,12
stay on top of,20.55827792506514,20
making a good first,20.549771205930647,14
had a significant impact,20.547982687985083,12
its own set of,20.52498324265214,20
that must be taken,20.522585954972136,10
in today 's world,20.50061310590396,20
often referred to as,20.495883190601973,21
early from high school,20.495688735666057,11
first impressions can be,20.48724140906365,33
", technology has enabled",20.48635010132851,16
has a long history,20.485582712980246,11
revolutionized the way we,20.4836364571525,11
is constantly trying to,20.45184892568283,24
an excellent way to,20.441047680359276,11
the late 19th and,20.418044665096843,18
have to worry about,20.41448377023351,10
T research has shown,20.404960421382476,11
that first impressions are,20.40378529885919,19
world that is constantly,20.39572590409155,23
with those around us,20.394112967563743,13
"Q famously said ,",20.391893338997434,19
a positive first impression,20.379451809996844,14
note that not all,20.374374500389905,16
a sense of belonging,20.374208481924768,11
potential benefits and drawbacks,20.373825613631546,18
many aspects of life,20.37156248838079,14
students who are looking,20.352811309447155,13
a great deal of,20.35022317716153,21
act of kindness can,20.344455474282313,14
was indeed a significant,20.33305709683671,12
younger and older students,20.322971875811866,12
can be incredibly beneficial,20.319420608840247,19
emphasizes the importance of,20.307931181780965,12
open up a world,20.301172279889677,11
make their own decisions,20.28834715731606,21
distance learning can provide,20.28821402796762,13
Q ( Q ),20.285820263041394,87
one 's own decisions,20.257096672069203,13
failure to failure without,20.250150016609233,30
students of all ages,20.241425747357233,11
a crucial role in,20.238611931275464,30
"hard work , dedication",20.221576319058443,10
a curfew for teenagers,20.209118713853172,10
how much may be,20.203305145919416,13
the face of adversity,20.198662263070133,18
technology has become an,20.195396396307096,13
impact on our lives,20.1919759109931,13
have a negative effect,20.168214532676515,20
for several reasons:1 T,20.162689865101306,12
of going from failure,20.147975077158165,26
"in ancient civilizations ,",20.14093807122154,10
the greater danger for,20.13446456042454,10
danger for most of,20.1179884552324,10
there are some potential,20.105363588298054,24
a young age can,20.092995740486266,40
as well as providing,20.085118545459515,13
a four day school,20.07292747449514,14
have a lasting impact,20.064028750213716,14
aspects of our lives,20.064027139659018,11
"the plus side ,",20.05817745815952,12
here 's how it,20.051956369823486,10
on the other hand,20.02568550500152,453
is mainly due to,20.021225948824153,10
task at hand T,20.01898767355994,17
take ownership of their,20.01578181933293,13
has enabled us to,19.99879898992014,15
provides an opportunity for,19.989559842617382,13
for a few reasons,19.987303567000325,38
achieving success in life,19.971642660526307,27
a negative effect on,19.961831198692835,20
is a powerful tool,19.93609057069866,11
get the most out,19.92954802292755,13
a few reasons:1 T,19.92401445329311,18
on one ’ s,19.918361171023882,11
to make informed decisions,19.90932960043839,11
a combination of genetic,19.90777828316621,12
depending on the specific,19.904165854937617,14
attending school in person,19.90333295987041,11
attributed to a combination,19.893008858916176,40
be an effective way,19.891698865071447,10
of their own homes,19.887149076882302,13
T seeking guidance from,19.882153000201406,11
important to note that,19.88203790746683,222
"Q language model ,",19.879272958747805,10
you try to do,19.87495750662842,14
a false sense of,19.874134878790123,10
"hand , working alone",19.866743803462818,14
miss out on the,19.866080558785434,16
technology has made it,19.85337893820423,13
the extended school day,19.833827080903447,17
making one 's own,19.828253373265326,12
an essential part of,19.816633522393943,42
lives of those around,19.784812735573844,11
are a few key,19.7833349827224,24
cellphones in the classroom,19.767445281741153,16
"essay , i will",19.760498621757357,10
a wide variety of,19.755353718774295,18
going from failure to,19.753718906237154,29
a lasting impact on,19.750730212313528,13
"music , drama ,",19.70636062686662,21
due to various factors,19.70173137938241,10
those around us T,19.69964068578522,51
to stay connected with,19.691749949760315,17
’ s important to,19.67555383711123,49
from a young age,19.66527058672584,10
different from what we,19.656162138012988,10
committing to a career,19.646952751615466,65
traced back to the,19.64097184370931,14
", distance learning provides",19.637631175342776,10
are several factors that,19.634361328086257,22
deciding on a career,19.62995941470652,13
and a half hours,19.627378345815984,29
"drama , and art",19.624886442551713,14
they need to succeed,19.620719676012712,11
the courage to continue,19.614240410831087,37
all over the world,19.60384877752331,23
"famously said , Q",19.603397444191145,11
"Q once said ,",19.6024603249371,19
a deeper understanding of,19.59909176837219,26
positive attitude can help,19.584107426087257,37
's important to note,19.58301791805544,57
on people 's lives,19.573518941641183,22
extra hour and a,19.57182902108208,16
as technology continues to,19.565352554855927,10
is an important factor,19.56042827963659,17
work at their own,19.528325287927075,19
"final , failure is",19.521861617530433,34
a significant impact on,19.509722112809733,40
learn at their own,19.509638861422403,10
i have been able,19.502377094901078,10
to stay on track,19.50067751395563,11
a major impact on,19.493780568940707,15
should be based on,19.47328465597974,10
have a long history,19.46778974285339,12
"in recent years ,",19.462699988454943,56
makes it easier to,19.457645686413073,10
while it is true,19.432123117788926,94
is an effective way,19.427109099558187,11
with friends and family,19.419542160610952,33
working in a group,19.385007061599204,146
at the same time,19.37441112610548,58
an informed decision T,19.35064832670269,15
T not only does,19.33560219294015,28
with family and friends,19.329344351639378,31
of those around us,19.32326348541094,22
"growing up , i",19.32315500889044,14
while there is no,19.31346746040468,21
comfort of their own,19.312240240825076,28
make a positive difference,19.306523411723568,10
there are a few,19.29546083513342,76
having a negative attitude,19.291362083383397,10
weigh the pros and,19.289878894723017,17
can be especially beneficial,19.27873769043716,11
T graduating high school,19.273626991912536,19
in the medieval period,19.262870911429943,10
a person 's character,19.262846613670973,12
in order to maximize,19.26256398386748,15
a combination of factors,19.262315328300417,65
a positive attitude helps,19.252855843230037,13
technology has had a,19.226408596493528,29
making it easier for,19.212052020177396,15
thousands of years T,19.199014604825358,12
should be seen as,19.196902160673986,10
comes to achieving success,19.19514937029963,10
a key factor in,19.18699523735247,17
their own pace and,19.183443612421627,18
has been found to,19.172966902151742,15
to participate in sports,19.166087154853848,16
is often associated with,19.16397290198016,16
a sense of accomplishment,19.162043953262945,26
T in recent years,19.15487698738613,40
i decided to take,19.154564412756102,10
s important to remember,19.151673685344754,11
not be overstated T,19.151279045054252,11
have a significant impact,19.149064854069515,27
to stay on top,19.143984000907587,11
is important to note,19.143274198519926,160
the best version of,19.13896542415985,13
the speed of light,19.130073518117754,15
responsibility for their own,19.12171110897443,10
make all the difference,19.118187074101506,10
factors that contributed to,19.110179044445005,10
", graduating high school",19.09602316581112,19
positive attitude can lead,19.088284225143937,14
commit to a career,19.067528434435744,23
the way we live,19.062339967401975,10
while it 's true,19.05424357981301,19
the world around us,19.037511081976128,24
the long run T,19.028150380432898,50
important to remember that,19.017087867630686,111
some potential drawbacks to,19.006706592648968,11
"in medieval times ,",19.006130593039018,14
is an important step,18.98898058538991,10
T first impressions are,18.988157818650045,30
a large amount of,18.987706467344232,23
to attend classes from,18.976554068214803,13
would not have been,18.97235991575988,13
a sense of purpose,18.971491254281794,21
Q is not final,18.967909454358065,28
classes from home can,18.967488372541744,11
keep up with their,18.965446919004705,10
T in medieval times,18.96134199780399,12
you are referring to,18.958091033987266,12
order to achieve success,18.917186511157432,10
T by doing so,18.885899692923807,11
decide on a career,18.88557634897783,10
is an important part,18.866743818293287,38
give students more time,18.859609957172125,15
of cell phones in,18.85119496788355,20
have a negative impact,18.83474994329203,19
"by doing so ,",18.833826748906247,12
they are more likely,18.825712622814322,13
to stay focused on,18.821872718280673,15
when it comes to,18.8213612191713,305
can go a long,18.813749934803447,15
to explore their interests,18.805438769627727,13
to stay in touch,18.803027496105045,13
in three years is,18.801134854167067,12
T here are some,18.80108922395884,38
outside the box T,18.790205897091226,11
is often said that,18.790010589089448,14
their high school experience,18.789491368778236,10
not fatal T it,18.78329832972672,34
an important factor in,18.780499788078295,14
year of high school,18.774653304935455,11
has allowed us to,18.755822236427605,13
it is often said,18.748725835572387,14
something else is the,18.748393986380414,17
Q Q s quote,18.74324223006637,14
a combination of historical,18.73525617023786,20
pros and cons to,18.73145456384104,24
years of high school,18.729880276831324,18
to weigh the pros,18.7269478140745,12
a step back and,18.716887011963387,14
there are also some,18.708382234035582,19
trying to make you,18.705959492015758,20
a negative impact on,18.702367190752128,20
on the positive side,18.699944264096544,31
needs and preferences T,18.695575064736623,10
may not always be,18.693782026464255,12
an effective way to,18.69210944452699,19
students may benefit from,18.68832744946453,10
their own homes T,18.67202093066866,10
the question of whether,18.646226860920258,12
and negative effects on,18.645285266269724,14
play a role in,18.642321424752794,12
anywhere in the world,18.636773714510205,11
this type of learning,18.63270240380477,13
in three years can,18.631978339520046,11
a major role in,18.61834256181836,12
who are unable to,18.61685146672555,10
may not be available,18.606367818935738,10
phones can be used,18.60454928964461,10
be a great way,18.600890588000382,50
that first impressions can,18.566461556563475,11
is not fatal T,18.558307145759613,34
impact on people 's,18.552945401678663,11
advantages and disadvantages of,18.550034600466027,32
T when you eat,18.548402046197104,10
be attributed to various,18.532783562787387,14
T studies show that,18.53137709233031,11
", technology has made",18.526992085825853,24
T here 's what,18.504384050916244,10
an opportunity to learn,18.50267631489593,35
"today 's world ,",18.499942054448425,14
"their own pace ,",18.49066496970613,16
success can be achieved,18.486013771486476,13
be the difference between,18.48570683496908,14
has proven to be,18.482529731873292,12
interact with the world,18.481924852629454,11
through hard work and,18.46966697352294,12
T the main reason,18.46943608501781,12
working with a group,18.46003695141227,30
working alone can be,18.459489575991014,11
to make an informed,18.449085195841064,21
T graduating from high,18.444505136233374,14
make the best decision,18.443055058374014,11
Q phones have become,18.442585349558733,12
working in groups can,18.44011122509145,13
a positive outlook on,18.430775215282793,17
", cell phones can",18.43067308237454,22
is essential for achieving,18.428012960039432,12
cell phones in the,18.416722054992988,24
an important part of,18.402005705083177,54
is a crucial part,18.39683737529758,10
taking a break from,18.391806025351265,11
pros and cons T,18.385234944124477,23
is important to remember,18.382660818498515,86
and teachers alike T,18.379498299758716,14
it enables us to,18.375586601131396,12
