,Phrase,PMI,Count
0,midnight weekend curfew,26.24921076409839,11
1,native american tribes,25.5703240072042,10
2,native american names,24.724833956259825,16
3,million years ago,23.281530360145247,12
4,early 20th centuries,22.701091537654204,22
5,after-school homework club,22.59636795461119,13
6,don ’ t,22.49334160034162,63
7,white blood cells,22.381473603454044,10
8,late 19th century,22.3203228431423,10
9,wouldn ’ t,22.190506186449845,11
10,renewable energy sources,22.150813031346054,12
11,aim too low,21.998869958389783,10
12,social media platforms,21.745214546619014,13
13,early 20th century,21.3385214582695,17
14,hustle and bustle,20.817650756171254,10
15,increasingly popular option,20.75188186685339,12
16,a simplified explanation:1,20.102039382012936,12
17,video conferencing classes,20.07050962517184,11
18,stress hormones like,19.932914088599805,10
19,has drastically changed,19.930757469382414,10
20,wonderful how much,19.835901352209753,13
21,seeking multiple opinions,19.736705243999317,13
22,varied across different,19.668670059961826,20
23,taken into consideration,19.622180108454806,25
24,worth noting that,19.614105699232113,11
25,cell phone use,19.594080743541145,28
26,spending time outdoors,19.58521082560407,14
27,taken into account,19.575259061067307,22
28,critical thinking skills,19.4446297857439,14
29,not fully understood,19.287867353106243,22
30,become increasingly popular,19.27203607194644,19
31,four-day school week,19.204325353925498,74
32,simplified explanation:1 T,19.19111483060949,12
33,three years instead,19.169152622048987,25
34,few reasons why,19.157278822988427,34
35,school lunch menu,19.111415893410832,11
36,across different regions,19.08370755924068,12
37,aim too high,19.051137268006762,12
38,few key points,19.021094591674466,10
39,have already mastered,18.891714235345876,28
40,continue that counts.,18.846551785232485,14
41,improved academic performance,18.711856902072576,19
42,that counts. ”,18.709889237921924,12
43,rather than relying,18.67859689986712,14
44,continue that counts,18.653906707290087,21
45,four-day work week,18.603962759910598,25
46,easier than ever,18.54640228750225,14
47,be traced back,18.507769423805676,37
48,than ever before,18.453292883110773,30
49,fruits and vegetables,18.44609189355929,20
50,open many doors,18.38289787938567,11
51,a stepping stone,18.379573357541844,12
52,let 's say,18.310827277343993,11
53,failure without loss,18.292952800482812,26
54,reduce stress levels,18.236491157390105,10
55,using cell phones,18.215112764405347,10
56,traditional four year,18.20987448014929,10
57,an attractive option,18.16081228050269,10
58,an invaluable asset,18.146585678934734,12
59,our comfort zone,18.137424388898385,17
60,travel through space,18.137091513791898,10
61,did not exist,18.084711601681718,16
62,an optimistic outlook,18.07242209031143,15
63,extra two hours,18.070891746004538,13
64,no matter how,18.065966985809254,64
65,vary depending on,18.060748191903453,36
66,no matter what,17.977965230461134,43
67,mental health issues,17.954371153752803,10
68,theory suggests that,17.952044914079796,10
69,no historical evidence,17.85583907958497,10
70,form meaningful relationships,17.824461413896593,13
71,our aim too,17.81611001093653,19
72,might seem like,17.78446210679197,11
73,our true selves,17.77894420971015,14
74,valuable insight into,17.762385815127864,14
75,school homework club,17.710926702701144,22
76,good first impression,17.69669521260522,27
77,two extra hours,17.6923801227508,10
78,something beyond what,17.644192769465572,24
79,i am confident,17.6326943162967,16
80,stepping stone to,17.627936999106957,11
81,body goes through,17.572870992346477,10
82,an after-school homework,17.561350210086417,11
83,school homework clubs,17.551055365922753,10
84,several reasons why,17.542760615517697,15
85,strengths and weaknesses,17.542016313557827,19
86,research has shown,17.51121114565543,34
87,an integral part,17.488695471840355,38
88,a black hole,17.458732895060972,18
89,setting our aim,17.454554841928456,19
90,technology has revolutionized,17.427575647952093,23
91,an active lifestyle,17.416188670294726,13
92,never giving up,17.38386959764828,13
93,your immune system,17.36790783788591,13
94,high school diploma,17.307880122590653,11
95,i ’ ve,17.281503299042487,13
96,evolved over time,17.27442328832191,26
97,you ’ re,17.264314224568714,13
98,take into account,17.263517543003978,32
99,has been linked,17.255516341980478,14
100,finishing high school,17.23839502226937,16
101,an increasingly popular,17.226219276514932,20
102,do something beyond,17.19366365104716,19
103,guidance from experts,17.16220619620476,24
104,build strong relationships,17.15569391607404,10
105,gain insight into,17.154703237906624,14
106,studies have shown,17.13459455254521,67
107,four year high,17.112088588548332,11
108,head start on,17.081279089920358,15
109,one major factor,17.06570649319336,13
110,try something new,17.06026631549694,15
111,i am writing,17.04905721304211,11
112,we ’ re,17.031189284573518,12
113,miss out on,16.986550569734444,55
114,come into contact,16.956716528556687,15
115,an extra hour,16.92055755179481,15
116,experience taught me,16.914163008805335,10
117,varied depending on,16.91230291787159,14
118,experts and authorities,16.90302451178313,31
119,profound effect on,16.877049452369604,16
120,does not necessarily,16.873349395986782,16
121,informed decision about,16.861837744238507,13
122,negative first impression,16.841811920465034,15
123,matter how small,16.81787186329887,12
124,this happens because,16.807813147499843,12
125,one notable example,16.79759660268063,15
126,own character traits,16.78209910070983,14
127,will never grow,16.781178548712944,11
128,pros and cons,16.774520717364094,173
129,never give up,16.76929061616102,20
130,your body weight,16.760838015803987,10
131,seeking guidance from,16.758921878351593,29
132,taking into account,16.735766081394146,15
133,peace of mind,16.734108627902184,18
134,trying something new,16.70340443050019,17
135,has evolved over,16.683134933223737,14
136,send signals to,16.680404419001093,10
137,evidence suggests that,16.679026419673388,12
138,adding an extra,16.619093559467164,12
139,may miss out,16.602630921569066,17
140,technology has drastically,16.57957874139714,10
141,longer school days,16.575984284984024,25
142,the spanish flu,16.571494466387183,10
143,our immune system,16.554015408363192,15
144,is highly unlikely,16.543106055157775,14
145,cell phones during,16.541193996499487,11
146,Q famously said,16.50022887145628,26
147,the flip side,16.47244610749751,14
148,goods and services,16.44551121533012,10
149,extended school day,16.443026541695538,41
150,let 's break,16.441175175725633,12
151,acts of kindness,16.41485517319382,37
152,phones during class,16.409664373794186,11
153,you something else,16.393031037371415,20
154,wide range of,16.392381590445787,50
155,a wide range,16.37742228079223,47
156,can vary depending,16.368220622055937,22
157,to ask questions,16.360456688241975,18
158,missing out on,16.354937975714464,19
159,graduating high school,16.336808994293605,57
160,an extended period,16.33128212260655,17
161,the black hole,16.32434746850838,14
162,task at hand,16.316634929578026,30
163,technology has enabled,16.312098430532156,18
164,a viable option,16.31137565052393,11
165,traced back to,16.30201023602102,35
166,an informed decision,16.279529237372163,41
167,save money on,16.262263999665734,12
168,consists of going,16.246208724902466,23
169,you don ’,16.24194641154026,13
170,curfew for teenagers,16.20937307138574,27
171,role in shaping,16.1959324928027,17
172,after school homework,16.19446413902747,31
173,three-year high school,16.189485421788426,12
174,the late 19th,16.188444272200286,28
175,a few examples:1,16.139199549119216,10
176,influenced by various,16.134710851471553,23
177,feelings of isolation,16.13095207392817,18
178,their chosen field,16.078109385294503,16
