,Phrase,PMI,Count
0,eldoret bungoma migori kikuyu,55.73085957703363,34
1,ssni ssni ssni ssni,55.59759304617016,31
2,cctv cctv cctv cctv,52.605128238588854,23
3,dolor sit amet consectetur,52.10008879844896,20
4,ipsum dolor sit amet,51.72569328366746,20
5,div classtextxs fontsemibold textcenter,50.878046928697486,21
6,amphoe mueang chiang mai,50.83758491016533,36
7,na zachovn vivovch ltek,50.67378765837091,30
8,vliv na zachovn vivovch,50.544504641425945,30
9,mueang chiang mai chang,50.357591969045714,36
10,meta nameviewport contentwidthdevicewidth initialscale,50.119915892075795,53
11,semilac uv gel polish,49.959143865222686,28
12,charsetutf meta nameviewport contentwidthdevicewidth,49.5739475229705,50
13,thenresponse responsejson thendata consolelogdata,49.549492600945285,24
14,responsejson thendata consolelogdata catcherror,49.49170632549726,22
15,htmlhtml langenhead meta charsetutf,48.93608194025289,43
16,woke woke woke woke,48.748078122199516,39
17,chang wat chiang mai,48.60865373321344,36
18,chiang mai chang wat,48.60865373321344,36
19,mai chang wat chiang,48.60865373321344,36
20,semimajor axis au eccentricity,47.851517999796286,25
21,statelesswidget override widget buildbuildcontext,47.53827314395171,20
22,axis au eccentricity inclination,47.346282691545866,25
23,wat chiang mai thailand,47.07918634508398,36
24,tuesday wednesday thursday friday,46.727637632315165,41
25,rapport gartner magic quadrant,46.64363032165119,23
26,illumination dof ar imagine,46.630335885289895,20
27,monday tuesday wednesday thursday,46.306545114718375,43
28,wednesday thursday friday saturday,46.15629474088314,20
29,langenhead meta charsetutf meta,46.08031836456635,41
30,meta charsetutf meta nameviewport,46.044694454835636,50
31,miami sunny vibrant miami,46.030909164835734,21
32,qu puedo ayudarte hoy,45.993113352055985,52
33,sacra di san michele,45.73437962028644,29
34,chiang mai thailand rank,45.70572794955655,48
35,algebra geometry trigonometry calculus,45.563108609453806,20
36,tenido un impacto significativo,45.440996925486324,20
37,zorg ervoor dat je,45.43944026170698,20
38,queensland atar framework indicates,45.22756784420412,20
39,global illumination dof ar,45.16641687566029,20
40,arithmetic algebra geometry trigonometry,45.13041244367845,20
41,calculate cohens kappa coefficient,44.54862706158127,28
42,generative adversarial networks gans,44.51592677423805,33
43,extends statelesswidget override widget,44.48382535992934,20
44,filosfico de gustavo bueno,44.207389089795704,22
45,villa mar y palma,44.16295898896699,24
46,puisje vous aider aujourdhui,44.06061990051344,36
47,stellen sie sicher dass,43.99232609550654,20
48,adult thb child thb,43.95799448575846,24
49,materialismo filosfico de gustavo,43.8240604502442,23
50,painful urination during pregnancy,43.68675473650696,22
51,colors global illumination dof,43.67791721444042,20
52,singular value decomposition svd,43.401623858125205,20
53,tienda de motoplace xtreme,43.29221052286161,20
54,in eldoret bungoma migori,43.226383767470125,34
55,wichtig zu beachten dass,42.580186637459704,27
56,alla sacra di san,42.550487016353,21
57,miami colors global illumination,42.4884394155767,21
58,dexterity constitution intelligence wisdom,42.47443802105974,22
59,static void mainstring args,42.44732720971708,151
60,sunny vibrant miami colors,42.39915245263563,21
61,recurrent neural networks rnns,42.38912707065689,46
62,frogman of cardiff docks,42.3606153343692,22
63,ha tenido un impacto,42.11906883059896,20
64,bonjour comment puisje vous,42.03263285959509,23
65,les tudiants peuvent apprendre,41.9796704915543,36
66,bungoma migori kikuyu and,41.9475663956954,34
67,migori kikuyu and meru,41.94756639569539,30
68,override widget buildbuildcontext context,41.924318439890854,52
69,ioi navigo and spond,41.8232840598088,27
70,je suis dsol mais,41.79724516564457,35
71,cassandra db spring boot,41.71797100041777,25
72,week monday tuesday wednesday,41.71203193638134,21
73,conomique chinoise et amricaine,41.63964237798674,38
74,kb partition kb free,41.62284266240618,20
75,rolepresentation styletextalign center position,41.55247137289198,21
76,convolutional neural networks cnns,41.4644338496013,60
77,comment puisje vous aider,41.40244110488094,46
78,suis dsol mais je,41.3684018668407,26
79,orbital data semimajor axis,41.29986451603937,20
80,strength dexterity constitution intelligence,41.12422586340266,21
81,estoy aqu para ayudarte,40.99546061912264,36
82,diplomatie conomique chinoise et,40.867248157472076,53
83,bien sr je peux,40.850710776617625,22
84,periods requesting account summaries,40.79988628608443,25
85,fruits vegetables whole grains,40.76281826756461,30
86,post headers contenttype applicationjson,40.714941029861016,21
87,recommended dosage mg per,40.589987021087325,28
88,le rapport gartner magic,40.572167959094564,23
89,like nltk spacy opencv,40.48217426257093,21
90,dsol mais je ne,40.4724089277561,25
