,Phrase,PMI,Count
0,classtextxs fontsemibold textcenter,37.89837951552423,21
1,zachovn vivovch ltek,37.42194147158124,30
2,miten jumala ilmaisee,37.19697510658097,24
3,bungoma migori kikuyu,37.15390638468908,34
4,eldoret bungoma migori,37.15390638468908,34
5,ssni ssni ssni,37.06644354343874,32
6,nameviewport contentwidthdevicewidth initialscale,35.76611264014045,53
7,jde shopee sg,35.7042324124166,28
8,tic tac toe,35.62445679354771,44
9,amphoe mueang chiang,34.94135320134738,36
10,img srcimagejpg altimage,34.937319944482645,24
11,bahan hasil pertanian,34.86684111660419,36
12,cctv cctv cctv,34.73003320422132,24
13,fontfamily arial sansserif,34.386867474203626,21
14,sit amet consectetur,33.75760085974144,20
15,thendata consolelogdata catcherror,33.42787902777293,35
16,dolor sit amet,33.190560267017545,20
17,crosssite scripting xss,32.97642403206869,21
18,thenresponse responsejson thendata,32.9592180301029,49
19,semilac uv gel,32.952939314379606,28
20,boneless skinless chicken,32.90526590110947,21
21,ipsum dolor sit,32.86863217213018,20
22,oleh karena itu,32.82325866690775,25
23,zorg ervoor dat,32.72068752473041,22
24,chang wat chiang,32.71242202439549,36
25,responsejson thendata consolelogdata,32.653260892127335,24
26,cohens kappa coefficient,32.428416528860296,37
27,mueang chiang mai,32.42109639001404,36
28,illumination dof ar,32.29234933881732,20
29,meta nameviewport contentwidthdevicewidth,32.210387360644376,54
30,omega fatty acids,32.20485619565919,35
31,super mario bros,32.17999039638843,26
32,div classtextxs fontsemibold,32.12052149071113,21
33,mai chang wat,32.08378905201735,36
34,cuban missile crisis,32.017651407136405,23
35,na zachovn vivovch,32.00937162477604,30
36,woke woke woke,32.0028310139916,40
37,tienes alguna pregunta,31.983641058093028,22
38,au eccentricity inclination,31.939254500643646,25
39,nous sommes fiers,31.913288339812503,20
40,uv gel polish,31.879690332348964,28
41,chiang mai chang,31.863100936893154,36
42,unvisited adjacent vertices,31.858935918518846,24
43,ho chi minh,31.846849214884152,22
44,midend coffee franchises,31.79525898579996,22
45,langenhead meta charsetutf,31.79522786271502,43
46,vliv na zachovn,31.786979203439586,30
47,ndis occupational therapy,31.701697213293674,32
48,charsetutf meta nameviewport,31.690891202900282,50
49,filipino elite athletes,31.506488862469304,21
50,htmlhtml langenhead meta,31.461490465538024,43
51,carnegie mellon university,31.193584517380195,25
52,os seguintes passos,31.135355988317304,25
53,puedo ayudarte hoy,31.107658955603426,54
54,tudiants peuvent apprendre,31.103361003924668,36
55,ml ops specialists,31.052499915491246,35
56,queensland atar framework,31.038885241575628,20
57,diplomatie conomique chinoise,30.93517956913638,99
58,tolerate poor drainage,30.920024691906875,20
59,gartner magic quadrant,30.917898966243655,33
60,nltk spacy opencv,30.91735260474417,21
61,chiang mai thailand,30.864148265462486,52
62,vacuum suction cups,30.821093164054023,30
63,berikut adalah beberapa,30.807755149213914,30
64,son byung eun,30.760139800553464,51
65,tuesday wednesday thursday,30.71969006441714,44
66,wat chiang mai,30.67215815418176,36
67,djangodb import modelsclass,30.540411438299607,25
68,ein positives testergebnis,30.303543674088438,25
69,wednesday thursday friday,30.28239011918245,41
70,cloves garlic minced,30.279515269262262,33
71,monte carlo simulations,30.202546034971984,32
72,global illumination dof,30.15305253324433,20
73,liberacin se alcanza,30.104982362334837,24
74,diplomatie conomique amricaine,30.04252331755059,49
75,geometry trigonometry calculus,30.038243928257714,20
76,monday tuesday wednesday,30.03284794967677,44
77,override widget buildbuildcontext,30.00725623577403,52
78,thursday friday saturday,29.983731803617935,20
79,stochastic gradient descent,29.97208352074312,26
80,algebra geometry trigonometry,29.82706289887789,24
81,sklearnmodelselection import traintestsplitfrom,29.813193820684962,30
82,tolerate temperatures ranging,29.807691743891844,20
83,stellen sie sicher,29.805668328355548,20
84,magnetic resonance imaging,29.73339525535219,26
85,kb partition kb,29.70452101251676,20
86,semimajor axis au,29.67895506253109,25
87,extends statelesswidget override,29.649132061420516,20
88,am amhayden sovinsky,29.631430059687055,20
89,statelesswidget override widget,29.574296828497925,20
90,aqui esto algumas,29.55844285692489,28
91,bonjour comment puisje,29.543142508500896,23
92,voici quelques exemples,29.46517121753054,35
93,les conomies africaines,29.463909924173688,20
94,adversarial networks gans,29.443967777911244,33
95,rolepresentation styletextalign center,29.406216695054063,21
96,por otro lado,29.34947944610323,42
97,qu puedo ayudarte,29.30156667588171,71
98,hier sind einige,29.261992346401797,46
99,justifycontent center alignitems,29.20621299794587,21
100,extends statefulwidget override,29.189006672613132,21
101,mai thailand rank,29.180863268360458,48
102,monte carlo simulation,29.155154930886344,25
103,bezieht sich auf,29.150172078596576,23
104,axis au eccentricity,29.14129827658829,25
105,headers contenttype applicationjson,29.135349198846587,41
106,calculate cohens kappa,29.126704655379356,32
107,una amplia gama,29.11734772450147,20
108,rapport gartner magic,29.09950852177403,25
109,suis dsol mais,28.940988904918065,35
110,miami sunny vibrant,28.87428777143955,21
111,sunny vibrant miami,28.87428777143955,21
112,isso pode levar,28.832446368010842,21
113,podem ser usados,28.82634830183669,20
114,recommended dosage mg,28.801704187535464,28
115,void mainstring args,28.774001232143725,152
116,rolepresentation styleposition relative,28.723463269773436,23
117,adobe premiere pro,28.683364150162156,26
118,aqu te dejo,28.5695269153204,28
119,nonfungible tokens nfts,28.44993046487924,23
120,thb child thb,28.448396561215684,24
121,voici quelques ides,28.43715684136095,21
122,strength dexterity constitution,28.43637395322311,21
123,hia renovation contract,28.43536076938545,20
124,dof ar imagine,28.42535147033231,20
125,wichtig zu beachten,28.393528870308707,27
126,les monnaies locales,28.344328308421012,27
127,rigid schema semistructured,28.319212998069485,21
128,rsultat final sera,28.280552748799803,25
129,meta charsetutf meta,28.24570239955389,53
130,lo siento pero,28.197265199660187,24
131,una amplia variedad,28.184461920360008,22
132,niche childrens morality,28.176190715350526,24
133,discount voucher brands,28.149306364280523,21
134,park min hyuk,28.132178716784008,36
135,spero che questo,28.123006097065304,21
136,aqu te presento,28.121574793568822,39
137,painful urination during,28.104487744265956,22
138,addition subtraction multiplication,28.084690286463083,48
139,infor visual erp,28.05561451363321,24
140,filsofo y telogo,27.997567385943075,20
141,afterschool homework club,27.996820658134144,20
142,bt ng sn,27.976699596021433,23
143,dudes en preguntar,27.967059596253485,21
144,gdp per capita,27.96084577081707,29
145,je suis dsol,27.93562242372642,43
146,dependency inversion principle,27.927030407460165,22
147,lin quan n,27.925159696341307,52
148,bien sr voici,27.923040182598957,67
149,depthfirst search dfs,27.91677655911074,20
150,el materialismo filosfico,27.910244963638664,22
151,selling proposition usp,27.879024016738718,26
152,cc sn phm,27.73731839490163,24
153,dexterity constitution intelligence,27.722911323694824,22
154,gross profit margin,27.71170104293358,27
155,tenido un impacto,27.679860233947583,21
156,alla sacra di,27.640958484921597,21
157,si tienes alguna,27.6395565495535,22
158,il nostro mondo,27.585961716489006,32
159,greenhouse gas emissions,27.580108527163045,125
160,arithmetic algebra geometry,27.558753551003424,21
161,v pht trin,27.540274187547013,22
162,del casin crypto,27.53976462252327,20
163,aqu hay algunos,27.539213671954535,21
164,dear hiring manageri,27.53131118642948,38
165,relational databases spreadsheets,27.468701180243155,21
166,ervoor dat je,27.329613079789734,20
167,nolist ending words,27.323991661441067,27
168,static void mainstring,27.254586390514245,151
169,los siguientes pasos,27.241160325982257,27
170,je suis prt,27.239544730559466,39
171,peuvent tre utiliss,27.19172209341799,22
172,partial differential equations,27.188315943995047,32
173,mixed vegetable salad,27.18371467071059,43
174,lived happily ever,27.178177015978882,65
175,un impacto significativo,27.170614787259222,29
176,squared error mse,27.152187534256147,29
177,display flex flexdirection,27.122332760220722,22
178,dosage mg per,27.07022923032433,28
179,cassandra db spring,27.042239653595058,25
180,sacra di san,27.024159897078434,29
181,puisje vous aider,26.997768334976847,46
182,whole wheat bread,26.96783006290833,43
183,les rseaux sociaux,26.96533172935214,52
184,flex justifycontent center,26.952818841568167,20
185,generative adversarial networks,26.936399638229673,35
186,di san michele,26.92794458181913,29
187,je suis ravi,26.917616635672104,26
188,logo um logotipo,26.912656148074348,36
189,por supuesto aqu,26.88217176937342,32
190,mar y palma,26.856094959990195,24
191,year olds birthday,26.837014193336948,33
192,exterior derivative operator,26.822160647504674,21
193,prendre des dcisions,26.787217954270606,23
194,widget buildbuildcontext context,26.751755502625645,52
195,adult thb child,26.719843206865676,24
196,arducam cameras designed,26.71037008821345,21
197,cela peut inclure,26.666593547245068,20
198,comment puisje vous,26.662837574891846,46
199,le rapport gartner,26.66263942766316,23
200,belangrijk om te,26.653637547600137,30
201,headers authorization bearer,26.64006852630857,23
202,atar framework indicates,26.607545929967685,20
203,cela vous aidera,26.545281925240314,20
204,mixing bowl combine,26.54276966945978,23
205,methane leakage rate,26.524618526914296,22
206,je nai pas,26.524249246825192,28
207,una gran cantidad,26.51075086224361,29
208,il existe plusieurs,26.486927478140423,30
209,xhr new xmlhttprequestxhropenget,26.463583605635524,47
210,uses quantummechanical phenomena,26.450794424383428,73
211,value decomposition svd,26.423708351713543,20
212,urination during pregnancy,26.414656125690847,22
213,chinoise et amricaine,26.38863158374346,41
214,um sicherzustellen dass,26.376227129721887,64
215,yosemite national park,26.366472364016534,23
216,dans cet exemple,26.36007172803287,31
217,html hypertext markup,26.340701923721234,23
218,ne peux pas,26.30983170734093,34
219,de gustavo bueno,26.275834252034297,26
220,tablespoon olive oil,26.266868698711434,20
221,bien sr je,26.250915043103277,76
222,vibrant miami colors,26.2504362573248,21
223,display flex justifycontent,26.241631688593067,21
224,vous aider aujourdhui,26.229093881083305,38
225,impacto significativo en,26.21685686439101,29
226,zu beachten dass,26.21616553720254,28
227,ce qui concerne,26.178811108087142,28
