,Phrase,Count,PMI
2114,"('it', 'is')",2400,4.606781197904013
6276,"('of', 'the')",2285,1.8025981099539976
2086,"('can', 'be')",2258,4.634888505486334
5717,"('in', 'the')",2215,2.145939931371256
4388,"('on', 'the')",1456,2.9249056587596662
771,"('such', 'as')",1212,6.692274410692512
7939,"('to', 'the')",1155,0.1542450076128219
6340,"('in', 'a')",1062,1.760749222503616
3226,"('important', 'to')",1019,3.69606441251538
5924,"('to', 'be')",1010,2.0217824028786815
4188,"('it', 'can')",912,3.0418856083415236
1728,"('is', 'important')",850,5.05582793007979
1778,"('can', 'help')",840,4.99940328367914
2263,"('lead', 'to')",840,4.470825202369095
6082,"('is', 'a')",805,1.9301278907871335
2310,"('a', 'positive')",804,4.425099743416592
8153,"('and', 'the')",793,-0.2983136164128162
7886,"('to', 'a')",770,0.24461473066225636
6131,"('with', 'the')",743,1.9023484773134314
960,"('there', 'are')",733,6.243512471404031
5974,"('students', 'to')",732,1.9942622308798192
3558,"('to', 'make')",715,3.4478078190684194
2444,"('can', 'also')",686,4.304719386650756
4645,"('have', 'a')",671,2.7734607136899996
3247,"('for', 'students')",644,3.6754729893354536
2145,"('able', 'to')",615,4.590286099292744
5498,"('as', 'a')",596,2.2668143796214792
7691,"('of', 'a')",594,0.5342710045799173
6758,"(',', 'and')",586,1.4390562946322625
3879,"('the', 'other')",574,3.2225119736901355
6195,"('be', 'a')",562,1.8623061455699101
3477,"('to', 'take')",556,3.4996828179385453
561,"('high', 'school')",551,7.366418964568677
5732,"('with', 'a')",548,2.1384943835059502
7362,"('for', 'the')",543,0.9313699777388287
4092,"('us', 'to')",538,3.099942912331933
2583,"('having', 'a')",534,4.189815852053375
1328,"('in', 'order')",525,5.575176220362842
389,"('positive', 'attitude')",523,8.042740466395308
2243,"('order', 'to')",512,4.486721531189886
1227,"('for', 'example')",507,5.74056212194478
1261,"('their', 'own')",504,5.675582373476949
7132,"(',', 'the')",501,1.1339295531702938
3011,"('we', 'can')",496,3.855859045631906
385,"('other', 'hand')",496,8.057809487681865
7694,"('is', 'the')",488,0.5326880315774503
2591,"('opportunity', 'to')",475,4.185205724592073
1599,"('sense', 'of')",474,5.2146877397955755
5761,"('that', 'can')",465,2.1241584878409085
2603,"('it', 's')",464,4.174132543332544
4721,"('them', 'to')",457,2.727373932860484
6079,"('from', 'the')",455,1.931917933124577
1756,"('can', 'lead')",453,5.032362834223019
3738,"('is', 'an')",451,3.3292568470472297
3696,"('the', 'potential')",442,3.3552637629378594
3027,"('the', 'world')",439,3.846336569014472
5569,"('time', 'to')",431,2.2304319328009505
3304,"('is', 'not')",424,3.636441524918716
6380,"('of', 'their')",416,1.7367432189060672
2294,"('may', 'be')",415,4.443459445232545
6044,"('the', 'school')",410,1.9554622715241194
4547,"('can', 'have')",410,2.828950766359611
949,"('as', 'well')",405,6.275466494805137
4958,"(',', 'it')",399,2.581519509590997
5870,"('in', 'their')",397,2.0575279858282443
1317,"('in', 'conclusion')",391,5.587050929421618
2170,"('due', 'to')",388,4.563186261868559
7783,"('that', 'the')",386,0.4140174859786576
1908,"('part', 'of')",384,4.858650754487048
2166,"('they', 'are')",383,4.569065298055904
1454,"('should', 'be')",374,5.397723038700633
2780,"('the', 'most')",372,4.031557956973238
2495,"('there', 'is')",369,4.265756437560199
7243,"('for', 'a')",365,1.0336464674724333
3245,"('to', 'learn')",362,3.6767341585541544
1206,"('one', 's')",361,5.775382049879607
3437,"('in', 'life')",358,3.526028028626804
2992,"('to', 'stay')",358,3.8694314968477634
2194,"('can', 'provide')",354,4.539671713251558
4036,"('way', 'to')",352,3.136182279562565
3292,"('when', 'it')",349,3.642374360297783
2792,"('access', 'to')",344,4.01889479446314
7483,"('as', 'the')",343,0.7943784015615378
2216,"('the', 'same')",341,4.5173168580408785
3859,"('they', 'can')",340,3.240725087266881
8340,"('and', 'a')",340,-0.8447675122085023
3064,"('the', 'best')",333,3.823041846392787
2067,"('a', 'great')",332,4.65955303435857
3198,"('not', 'be')",328,3.7166699825374323
8085,"('and', 'can')",327,-0.13483271348377457
1105,"('well', 'as')",327,5.96683522253123
2941,"('need', 'to')",326,3.8996990423549036
2279,"('ability', 'to')",326,4.461577929963017
4731,"('one', 'of')",323,2.7193973028835217
2798,"('a', 'person')",314,4.016981734090201
4093,"('on', 'their')",313,3.0988137062499987
1150,"('it', 'comes')",306,5.875383239741655
1308,"('i', 'was')",304,5.603748599126369
5906,"('of', 'our')",303,2.031231769015136
1533,"('is', 'essential')",302,5.295070666428437
1591,"('may', 'not')",302,5.230392080734173
2517,"('understanding', 'of')",301,4.249510173057949
6887,"('on', 'a')",301,1.3260629190912603
1604,"('variety', 'of')",301,5.209530735089302
3117,"('a', 'career')",301,3.7811676856051406
2739,"('comes', 'to')",300,4.05989749781244
652,"('not', 'only')",298,7.033876690110475
3438,"('the', 'opportunity')",298,3.523495318174799
5718,"('students', 'can')",297,2.1452974228703496
2733,"('to', 'consider')",296,4.067373785164154
6059,"('a', 'more')",295,1.942341568770182
970,"('impact', 'on')",293,6.2267505604972335
2825,"('which', 'can')",293,3.9883203930368865
2021,"(',', 'which')",290,4.705751607821444
7409,"('have', 'the')",290,0.8878686237341675
4683,"('this', 'can')",290,2.746691007668069
705,"('technology', 'has')",286,6.867319568847304
2619,"('to', 'ensure')",284,4.1574146585445675
2249,"('the', 'importance')",283,4.481406518236895
1657,"('importance', 'of')",283,5.134553530597181
2237,"('a', 'sense')",283,4.492787945139497
591,"('those', 'who')",282,7.260096492872968
2203,"('a', 'group')",281,4.5306503107295875
2787,"('i', 'have')",279,4.025236282742153
1093,"('have', 'been')",278,5.9877516630620455
938,"('school', 'day')",277,6.297882933074835
1603,"('amount', 'of')",276,5.210388176186267
1349,"('our', 'own')",275,5.553344543166265
3914,"('difficult', 'to')",273,3.199557871978989
7484,"('to', 'have')",273,0.7898118983002078
7742,"('to', 'their')",273,0.4650088529856653
6467,"('that', 'it')",269,1.6690346246607675
657,"('has', 'been')",266,7.01715194309919
3312,"('a', 'student')",266,3.631976790006142
2502,"('the', 'right')",264,4.2599116501132315
4664,"('this', 'is')",260,2.7581166439129383
5217,"('at', 'the')",260,2.4373137834210183
4459,"('students', 'with')",260,2.885492411089661
1770,"('a', 'variety')",259,5.014904557426451
2758,"('the', 'classroom')",259,4.050487495455521
1827,"('lack', 'of')",257,4.949423422369723
2575,"('but', 'it')",255,4.1964805283631
6738,"('by', 'the')",255,1.4513195772179834
1424,"('be', 'beneficial')",253,5.44058902454681
2022,"('students', 'who')",252,4.70485660551601
6287,"('help', 'to')",250,1.7985261412012932
1807,"('however', ',')",250,4.966676180644075
1327,"('in', 'addition')",247,5.576470060278638
6777,"('the', 'time')",245,1.4264305890532967
2664,"('students', 'may')",245,4.1200494253570845
2874,"('to', 'explore')",245,3.955620791270288
2986,"('working', 'in')",244,3.871744880498735
3729,"('can', 'make')",242,3.3372875341510735
2026,"('would', 'be')",242,4.69777663396523
4362,"('success', 'in')",241,2.934833507819963
290,"('distance', 'learning')",240,8.455209685240707
5849,"('in', 'our')",239,2.0771538814432446
4966,"('the', 'way')",237,2.576398686162399
1667,"('a', 'few')",236,5.122591099940042
