,Phrase,Count,PMI
1335,and the opportunity to,12,8.16449083452968
1334,and out of the,11,8.614202474187131
1333,and it can be,19,8.80410437398524
1332,and understanding of the,12,8.886959309454163
1331,of the world and,15,8.914403359882677
1330,be one of the,11,9.11158315295684
1329,is up to the,14,9.336418679709666
1328,it is not the,11,9.351034134586214
1327,to learn in a,10,9.42259452260933
1326,a part of the,10,9.478018204623673
1325,to a sense of,10,9.519369665416228
1324,important it is to,10,9.61861366319662
1323,to working in a,14,9.619859544624994
1322,it can have a,16,9.807884336218152
1321,both the students and,10,9.89258012145303
1320,to the power of,11,10.04809215830418
1319,in the classroom and,13,10.061601538625418
1318,to have a positive,11,10.146131412806874
1317,and the ability to,27,10.153843590330169
1316,and can lead to,26,10.18463684841376
1315,the quality of the,10,10.223437131326321
1314,is due to the,11,10.240252716884847
1313,to the lack of,18,10.309888730479116
1312,it can be a,37,10.361925769706268
1311,the potential to be,24,10.40956351405866
1310,is that it can,24,10.441593574526358
1309,with the help of,22,10.536952325202051
1308,it can help to,20,10.579262530154907
1307,important to take the,10,10.632297677342393
1306,of working in a,18,10.646481412708866
1305,is one of the,45,10.693407723085386
1304,the idea of a,11,10.797615403147617
1303,is the ability to,15,10.837288049906576
1302,it can be more,10,10.870033828296208
1301,it is better to,12,10.88545565910249
1300,can help students to,15,10.886207738768867
1299,and a lack of,16,10.905237409381193
1298,and it is important,23,10.91018898094007
1297,and a sense of,25,10.931239216877394
1296,this can help to,10,10.937048853631254
1295,of the importance of,17,10.937574773575754
1294,time for students to,15,10.945931565092764
1293,be beneficial in the,10,11.027969477220289
1292,with the ability to,11,11.153008455695627
1291,that can not be,10,11.159714639203777
1290,", on the other",10,11.186031257341142
1289,to remember that the,10,11.237470050244411
1288,can also have a,14,11.288898284576916
1287,be the key to,14,11.319401393717513
1286,to be able to,27,11.337970811020682
1285,is a part of,12,11.351530656823755
1284,in the classroom it,10,11.380065048530327
1283,the rest of the,14,11.388463333355794
1282,that can lead to,18,11.405173252542347
1281,that it can help,10,11.42025510755608
1280,in life it can,16,11.46680483009088
1279,to take the time,21,11.47844880259607
1278,", there is a",13,11.494911117938123
1277,as the ability to,14,11.508115317729825
1276,to a lack of,26,11.515735670948487
1275,up to us to,12,11.540556114133963
1274,to a variety of,26,11.547847856102237
1273,is the key to,24,11.646412064817241
1272,to make a positive,13,11.656093142332978
1271,as part of the,14,11.668953795763777
1270,have the potential to,37,11.689466311107289
1269,in life it is,17,11.723234584572573
1268,of the school day,13,11.744797129726855
1267,as a way to,28,11.74734842669374
1266,can lead to an,11,11.774914598452327
1265,is important to be,37,11.791202074474747
1264,of allowing students to,13,11.802657983319286
1263,life it can be,10,11.808431578627768
1262,the most of our,10,11.817982010846308
1261,can also be a,32,11.826131430378474
1260,the most of their,17,11.831762472432075
1259,the concept of a,12,11.841403135789939
1258,that success can be,10,11.842239486523951
1257,have the ability to,14,11.843761216060322
1256,technology can be a,12,11.867852872495128
1255,us the opportunity to,10,11.870332426926865
1254,to focus on the,20,11.885488039988942
1253,with the opportunity to,33,11.9185432020586
1252,can lead to more,11,11.93555762177715
1251,on the importance of,10,11.944531385765188
1250,us to be more,12,11.952553189728526
1249,can help them to,12,11.977040829088146
1248,the context of the,12,11.982624770923415
1247,to ensure that the,31,11.999021282688886
1246,order to make the,10,12.001159774370343
1245,to a student s,13,12.021966015670131
1244,the end of the,36,12.033763619915213
1243,in a safe and,11,12.043413458194706
1242,important for students to,28,12.07063409417956
1241,lead to a more,21,12.102264516554257
1240,to become one of,12,12.158810970964744
1239,in a way that,27,12.19640889674092
1238,as part of a,13,12.237370815617858
1237,is true that the,14,12.247953583044783
1236,in a group is,16,12.255147969355377
1235,is a result of,11,12.260626117849533
1234,can be the key,10,12.286390476021083
1233,the opportunity to make,14,12.293287091724459
1232,and allows us to,10,12.311939186546503
1231,s important to be,14,12.327292671700242
