Count,PMI,Phrases,TYPE 
788,11.32610735,it  is  important,Highlight Key / Caveat/Summarize
694,9.355930791,is  important  to,Highlight Key / Caveat/Summarize
512,10.08677823,on  the  other,Contradictary View/ Caveat
512,10.13163265,in  order  to,Explanatory 
496,12.6613443,the  other  hand,Contradictory
493,13.23638421,a  positive  attitude,Descriptive
443,9.592788522,can  lead  to,Explantory 
337,7.169530556,can  be  a,Explanotry /Show options/Hypothesize / Speculative
327,12.95121103,as  well  as,Additive/Transition 
304,8.121532878,it  can  be,Speculative /Analytical
302,13.88774163,when  it  comes,Explantory / Situational 
298,10.42979396,it  comes  to,Explanatory/Situational
285,11.99471603,having  a  positive,Descriptive
284,8.046703957,the  opportunity  to,
282,9.744362883,a  sense  of,Descriptive 
281,9.727856424,the  importance  of,Highlight Key / Caveat/Summarize
271,7.069690806,one  of  the,Show options
259,10.27158639,a  variety  of,Show options
228,6.770076165,for  students  to,
186,6.967496518,can  have  a,Explanatory( cause and effect) / Show options/Hypothesize/ Speculative
186,9.217749135,in  the  classroom,Set the scene / situatuional / specify / Show options
181,9.540980994,in  a  group,Set the scene / situatuional / specify / Show options
174,16.22436191,pros  and  cons,Analytical/ show contradictory views
170,8.956655327,can  also  be,
169,8.620754019,working  in  a,
166,8.091424023,the  ability  to,
166,9.3654927,be  able  to,
166,8.637240681,it  can  also,
165,11.00856678,it  s  important,
159,7.468170391,   it  is,
157,9.149948729,s  important  to,
153,8.006468817,of  the  most,
153,10.04506343,the  school  day,
151,7.116192545,can  help  to,
150,10.73146009,can  be  beneficial,
150,11.41283213,important  to  consider,
143,12.21699062,positive  attitude  can,
143,10.38629669,   such  as,
142,8.855145655,the  amount  of,
141,7.706359588,due  to  the,
141,9.580841509,to  ensure  that,
139,10.34276748,can  be  difficult,
137,12.82693058,important  to  note,
136,10.92389094,to  note  that,
134,12.6503204,a  great  way,
133,11.15750592,more  likely  to,
132,8.693690086,is  essential  to,
130,7.057814538,lead  to  a,
128,9.527420013,are  able  to,
128,9.807279367,an  opportunity  to,
127,5.071107377,the  time  to,
126,7.596705236,understanding  of  the,
126,6.137271167,the  potential  to,
126,9.815646168,is  an  important,
125,6.893465637,that  can  be,
125,15.0844113,a  young  age,
124,10.68309257,a  student  s,
123,10.5494867,in  terms  of,
122,10.24274448,to  remember  that,
121,14.61133391,advantages  and  disadvantages,
120,10.84349586,can  help  us,
119,11.79281197,great  way  to,
119,12.09929531,important  to  remember,
119,13.28023675,a  four  day,
113,12.04626516,positive  attitude  is,
112,8.238523085,it  is  also,
112,7.268810158,to  consider  the,
111,10.11079621,a  combination  of,
111,8.565826367,be  difficult  to,
109,6.013059752,to  make  a,
109,12.81196466,at  a  young,
109,9.613720761,allowing  students  to,
109,5.337727528,to  make  the,
109,6.980942543,the  use  of,
108,9.714912631,to  focus  on,
108,11.42958376,it  is  clear,
108,7.762803583,can  be  an,
