Phrase,Count,PMI
"('it', 'is', 'important')",788,11.326107348004584
"('is', 'important', 'to')",694,9.355930791394023
"('on', 'the', 'other')",512,10.086778234027058
"('in', 'order', 'to')",512,10.131632647570399
"('the', 'other', 'hand')",496,12.661344303781782
"('a', 'positive', 'attitude')",493,13.236384206396785
"('can', 'lead', 'to')",443,9.592788522492839
"('can', 'be', 'a')",337,7.1695305557656965
"('as', 'well', 'as')",327,12.951211026371595
"('it', 'can', 'be')",304,8.121532877650402
"('when', 'it', 'comes')",302,13.887741625520285
"('it', 'comes', 'to')",298,10.42979395727221
"('having', 'a', 'positive')",285,11.994716026336633
"('the', 'opportunity', 'to')",284,8.046703956978362
"('a', 'sense', 'of')",282,9.744362883166609
"('the', 'importance', 'of')",281,9.727856424086141
"('one', 'of', 'the')",271,7.069690805643376
"('a', 'variety', 'of')",259,10.271586385886657
"('for', 'students', 'to')",228,6.7700761651466195
"('can', 'have', 'a')",186,6.967496518
"('in', 'the', 'classroom')",186,9.217749135257513
"('in', 'a', 'group')",181,9.540980993972383
"('pros', 'and', 'cons')",174,16.22436190851654
"('can', 'also', 'be')",170,8.956655327
"('working', 'in', 'a')",169,8.620754019088537
"('the', 'ability', 'to')",166,8.091424023178782
"('be', 'able', 'to')",166,9.365492700443092
"('it', 'can', 'also')",166,8.637240681318353
"('it', 's', 'important')",165,11.008566783590865
"(',', 'it', 'is')",159,7.468170391119209
"('s', 'important', 'to')",157,9.149948728504235
"('of', 'the', 'most')",153,8.006468817
"('the', 'school', 'day')",153,10.045063425818213
"('can', 'help', 'to')",151,7.116192545099139
"('can', 'be', 'beneficial')",150,10.73146008958323
"('important', 'to', 'consider')",150,11.412832131171157
"('positive', 'attitude', 'can')",143,12.21699061616161
"(',', 'such', 'as')",143,10.386296692424672
"('the', 'amount', 'of')",142,8.855145655012699
"('due', 'to', 'the')",141,7.706359588180142
"('to', 'ensure', 'that')",141,9.580841509
"('can', 'be', 'difficult')",139,10.34276748328648
"('important', 'to', 'note')",137,12.826930584981625
"('to', 'note', 'that')",136,10.923890939293578
"('a', 'great', 'way')",134,12.65032039918519
"('more', 'likely', 'to')",133,11.15750591778857
"('is', 'essential', 'to')",132,8.693690086222851
"('lead', 'to', 'a')",130,7.057814537601928
"('are', 'able', 'to')",128,9.527420013
"('an', 'opportunity', 'to')",128,9.807279367250963
"('the', 'time', 'to')",127,5.071107376583932
"('understanding', 'of', 'the')",126,7.596705235898078
"('the', 'potential', 'to')",126,6.137271166807388
"('is', 'an', 'important')",126,9.815646168431847
"('that', 'can', 'be')",125,6.893465636537634
"('a', 'young', 'age')",125,15.084411297664776
"('a', 'student', 's')",124,10.68309256815487
"('in', 'terms', 'of')",123,10.54948670128833
"('to', 'remember', 'that')",122,10.242744476820015
"('advantages', 'and', 'disadvantages')",121,14.611333908457503
"('can', 'help', 'us')",120,10.843495856187353
"('great', 'way', 'to')",119,11.792811971925907
"('important', 'to', 'remember')",119,12.099295306542935
"('a', 'four', 'day')",119,13.28023675114899
"('positive', 'attitude', 'is')",113,12.046265155029758
"('it', 'is', 'also')",112,8.238523085260383
"('to', 'consider', 'the')",112,7.2688101576927195
"('a', 'combination', 'of')",111,10.110796214218645
"('be', 'difficult', 'to')",111,8.565826367439271
"('to', 'make', 'a')",109,6.013059752050104
"('at', 'a', 'young')",109,12.811964658121454
"('allowing', 'students', 'to')",109,9.613720761494918
"('to', 'make', 'the')",109,5.337727528279515
"('the', 'use', 'of')",109,6.980942542882126
"('to', 'focus', 'on')",108,9.714912631165127
"('it', 'is', 'clear')",108,11.429583756848558
"('can', 'be', 'an')",108,7.762803582753996
"('it', 'is', 'essential')",107,10.177679542997986
"('success', 'in', 'life')",107,10.376309277524733
"('allows', 'us', 'to')",107,11.048906581725433
"('it', 'is', 'not')",105,8.002313217515123
"('a', 'person', 's')",105,10.58880840612774
"('could', 'lead', 'to')",105,10.517750068788416
"('day', 'school', 'week')",104,16.199310661737545
"('may', 'not', 'be')",104,10.357036829580217
"('can', 'also', 'help')",104,10.038803139948755
"('hard', 'work', 'and')",103,11.468200664424913
"('the', 'pros', 'and')",103,8.402751231287027
"('part', 'of', 'the')",102,7.549648411837296
"('amount', 'of', 'time')",101,11.861930020662257
"('provide', 'students', 'with')",100,10.749597986321191
"('a', 'lack', 'of')",100,8.866522102821072
"('be', 'a', 'great')",100,9.592979562816403
"('is', 'clear', 'that')",99,11.358128862433432
"('to', 'a', 'career')",99,6.7695346686860844
"('a', 'lot', 'of')",98,10.267615663084072
"('while', 'it', 'is')",98,8.950881493
"('there', 'is', 'no')",96,12.505415915235062
"('is', 'essential', 'for')",96,10.100252186210618
"('allowing', 'them', 'to')",95,10.82815323025558
"('is', 'important', 'for')",95,8.352988265771778
"('should', 'not', 'be')",94,11.315522622931503
"('activities', 'such', 'as')",94,12.131823422198416
"('are', 'a', 'few')",93,10.980683375922851
"('do', 'n', 't')",93,19.169765648060793
"('can', 'be', 'used')",92,10.36285295573849
"('such', 'as', 'the')",92,7.576197199376487
"('those', 'around', 'us')",91,15.645311308538304
"('four', 'day', 'school')",91,15.502390928639553
"('it', 'can', 'help')",91,8.172499035705194
"('was', 'able', 'to')",90,10.592424412336491
"('there', 'are', 'also')",90,11.27090183539454
"('more', 'time', 'to')",90,7.6452413392435545
"('in', 'the', 'future')",90,7.848515325591791
"('in', 'the', 'long')",89,7.817288767838306
"('the', 'power', 'of')",88,8.455462118543139
"('to', 'have', 'a')",88,4.435353415888159
"('the', 'courage', 'to')",88,8.342713519213902
"('there', 'are', 'a')",87,8.447653618989449
"('for', 'students', 'who')",87,9.629143936250927
"('a', 'number', 'of')",86,9.275313095849583
